City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,289.92,59,56,6.8,AU,1706983366
1,iqaluit,63.7506,-68.5145,248.0,69,20,5.14,CA,1706983445
2,vila velha,-20.3297,-40.2925,304.12,80,75,4.63,BR,1706983276
3,yellowknife,62.456,-114.3525,255.6,96,100,7.2,CA,1706983308
4,west island,-12.1568,96.8225,301.14,83,40,4.63,CC,1706983508
5,baneh,35.9975,45.8853,270.73,89,95,2.35,IR,1706983509
6,mil'kovo,55.6078,37.7956,271.37,89,99,3.83,RU,1706983418
7,talnakh,69.4865,88.3972,258.82,96,100,3.81,RU,1706983336
8,cestos city,5.46,-9.5828,302.06,75,100,4.15,LR,1706983511
9,santa fe de antioquia,6.5569,-75.8281,306.13,60,95,0.68,CO,1706983511
10,belmopan,17.25,-88.7667,303.36,45,2,2.03,BZ,1706983512
11,albany,42.6001,-73.9662,275.39,63,52,2.68,US,1706983206
12,grytviken,-54.2811,-36.5092,282.04,91,100,5.12,GS,1706983330
13,yoichi,43.2039,140.7703,270.84,73,79,5.2,JP,1706983402
14,waitangi,-43.9535,-176.5597,287.49,94,17,0.45,NZ,1706983267
15,lalibela,12.0333,39.0333,289.93,61,96,0.5,ET,1706983515
16,sao jose da coroa grande,-8.8978,-35.1478,302.84,61,65,4.54,BR,1706983515
17,olonkinbyen,70.9221,-8.7187,267.75,68,100,7.3,SJ,1706983344
18,peterhead,57.5058,-1.7981,280.37,74,100,9.42,GB,1706983517
19,luganville,-15.5333,167.1667,299.79,87,99,0.82,VU,1706983517
20,turkmenbasy,40.0222,52.9552,278.58,87,40,4.12,TM,1706983518
21,williamsport,41.2412,-77.0011,280.58,50,0,2.57,US,1706983518
22,tiksi,71.6872,128.8694,237.99,100,100,2.34,RU,1706983349
23,puerto ayora,-0.7393,-90.3518,304.13,79,55,5.02,EC,1706983280
24,kapa'a,22.0752,-159.319,293.76,54,11,3.13,US,1706983379
25,klyuchi,52.2667,79.1667,267.55,89,100,7.01,RU,1706983273
26,macael,37.3097,-2.3012,284.82,74,0,1.65,ES,1706983522
27,ilulissat,69.2167,-51.1,252.16,49,20,0.51,GL,1706983307
28,dunedin,-45.8742,170.5036,285.26,57,79,0.45,NZ,1706983376
29,edinburgh of the seven seas,-37.0676,-12.3116,289.19,72,26,9.6,SH,1706983412
30,adamstown,-25.066,-130.1015,297.79,75,89,1.65,PN,1706983390
31,thompson,55.7435,-97.8558,271.24,100,100,4.12,CA,1706983323
